cl_diagnose_conversie_begindatum|cl_diagnose_conversie_einddatum|cl_D5_diagnose_code|cl_diagnose_code|cl_diagnose_conversie_mutatie
20170101|99991231|D5_2.03.03|as1_5.05.03|
20170101|99991231|D5_2.04|as1_5.02|
20170101|99991231|D5_2.04.01|as1_5.02.02|
20170101|99991231|D5_2.04.02|as1_5.02.01|
20170101|99991231|D5_2.04.03|as1_5.01.04|
20170101|99991231|D5_2.05.01|as1_5.03.01|
20170101|99991231|D5_2.05.02|as1_5.03.02|
20170101|99991231|D5_2.06.01|as1_4.01.02.07|
20170101|99991231|D5_2.06.02|as1_4.04.02.03|
20170101|99991231|D5_2.06.03|as1_4.10.02.03|
20170101|99991231|D5_2.06.04|as1_4.06.02.04|
20170101|99991231|D5_2.06.05|as1_4.07.02.04|
20170101|99991231|D5_2.06.06|as1_4.11.02.07|
20170101|99991231|D5_2.06.07|as1_4.02.02.04|
20170101|99991231|D5_2.06.08|as1_4.05.02.04|
20170101|99991231|D5_2.06.09|as1_4.13.02.06|
20170101|99991231|D5_2.07.01|as1_5.07.01.01|
20170101|99991231|D5_2.07.02|as1_5.07.01.02|
20170101|99991231|D5_2.08.01|as1_3.01|
20170101|99991231|D5_2.08.02|as1_3.01|
20170101|99991231|D5_2.08.03|as1_3.01|
20170101|99991231|D5_2.09.01|as1_5.07.03|
20170101|99991231|D5_2.09.02|as1_5.07.03|
20170101|99991231|D5_20.01.01|as1_3.03|
20170101|99991231|D5_20.01.02|as1_3.03|
20170101|99991231|D5_20.02.01|as1_18.01|
20170101|99991231|D5_20.02.02|as1_18.04|
20170101|99991231|D5_21.01|as1_17.02.01|
20170101|99991231|D5_21.02|as1_17.02.02|
20170101|99991231|D5_21.03|as1_17.02.03|
20170101|99991231|D5_21.04|as1_17.02.04|
20170101|99991231|D5_21.05|as1_17.02.05|
20170101|99991231|D5_21.06|as1_17.02.07|
20170101|99991231|D5_21.07|as1_17.02.07|
20170101|99991231|D5_21.08|as1_17.02.06|
20170101|99991231|D5_21.09|as1_17.02.07|
20170101|99991231|D5_21.10|as1_17.03.01|
20170101|99991231|D5_21.11|as1_17.03.01|
20170101|99991231|D5_22.01.01.01|as1_17.04.02|
20170101|99991231|D5_22.01.01.02|as1_17.04.04|
20170101|99991231|D5_22.01.01.03.01|as1_17.04.05|
20170101|99991231|D5_22.01.01.03.02|as1_17.04.05|
20170101|99991231|D5_22.01.02.01|as1_17.04.03|
20170101|99991231|D5_22.01.02.02|as1_17.04.05|
20170101|99991231|D5_22.01.02.03|as1_17.04.05|
20170101|99991231|D5_22.01.02.04|as1_17.06.07|
20170101|99991231|D5_22.02.01.01|as1_17.05.01|
20170101|99991231|D5_22.02.01.02|as1_17.05.01.01|
20170101|99991231|D5_22.02.01.03|as1_17.05.01.01|
20170101|99991231|D5_22.02.01.04|as1_17.05.01|
20170101|99991231|D5_22.02.01.05|as1_17.05.01|
20170101|99991231|D5_22.02.01.06|as1_17.05.02|
20170101|99991231|D5_22.02.01.07|as1_17.05.02.01|
20170101|99991231|D5_22.02.01.08|as1_17.05.02.01|
20170101|99991231|D5_22.02.01.09|as1_17.05.02|
20170101|99991231|D5_22.02.01.10|as1_17.05.02|
20170101|99991231|D5_22.02.01.11|as1_17.05.03|
20170101|99991231|D5_22.02.01.12|as1_17.05.03.01|
20170101|99991231|D5_22.02.01.13|as1_17.05.03.01|
20170101|99991231|D5_22.02.01.14|as1_17.05.03|
20170101|99991231|D5_22.02.01.15|as1_17.05.03|
20170101|99991231|D5_22.02.01.16|as1_17.05.03.02|
20170101|99991231|D5_22.02.01.17|as1_17.05.03.01|
20170101|99991231|D5_22.02.01.18|as1_17.05.03.01|
20170101|99991231|D5_22.02.01.19|as1_17.05.03.02|
20170101|99991231|D5_22.02.01.20|as1_17.05.03.02|
20170101|99991231|D5_22.02.02.01|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.02|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.03|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.04|as1_17.05.04.02|
20170101|99991231|D5_22.02.02.05|as1_17.05.05.01|
20170101|99991231|D5_22.02.02.06|as1_17.05.05.01|
20170101|99991231|D5_22.02.02.07|as1_17.05.05.01|
20170101|99991231|D5_22.02.02.08|as1_17.05.05.02|
20170101|99991231|D5_22.02.02.09|as1_17.05.04.02|
20170101|99991231|D5_22.02.02.10|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.11|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.12|as1_17.05.04.02|
20170101|99991231|D5_22.02.02.13|as1_17.05.04.02|
20170101|99991231|D5_22.02.02.14|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.15|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.16|as1_17.05.04.02|
20170101|99991231|D5_22.02.02.17|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.18|as1_17.05.05.03|
20170101|99991231|D5_22.02.02.19|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.20|as1_17.05.04.01|
20170101|99991231|D5_22.02.02.21|as1_17.05.04.03|
20170101|99991231|D5_22.03.01.01|as1_17.06.08|
20170101|99991231|D5_22.03.01.02|as4_103|
20170101|99991231|D5_22.03.02.01|as1_17.06.09|
20170101|99991231|D5_22.03.02.02|as4_104|
20170101|99991231|D5_22.03.02.03|as1_17.06.09|
20170101|99991231|D5_22.03.02.04|as4_104|
20170101|99991231|D5_22.04.01.01|as4_105|
20170101|99991231|D5_22.04.01.02|as4_105|
20170101|99991231|D5_22.04.01.03|as4_105|
20170101|99991231|D5_22.04.01.04|as4_105|
20170101|99991231|D5_22.04.02.01|as4_106|
20170101|99991231|D5_22.04.02.02|as4_106|
20170101|99991231|D5_22.04.02.03|as4_106|
20170101|99991231|D5_22.04.02.04|as4_106|
20170101|99991231|D5_22.04.02.05|as4_106|
20170101|99991231|D5_22.05.01|as1_17.06.13|
20170101|99991231|D5_22.05.02|as4_102|
20170101|99991231|D5_22.05.03|as1_17.06.12|
20170101|99991231|D5_22.05.04|as4_102|
20170101|99991231|D5_22.05.05|as4_102|
20170101|99991231|D5_22.05.06|as4_102|
20170101|99991231|D5_22.06.01|as4_108|
20170101|99991231|D5_22.06.02|as4_108|
20170101|99991231|D5_22.07.01|as4_109|
20170101|99991231|D5_22.07.02|as4_109|
20170101|99991231|D5_22.08.01|as1_17.06.11|
20170101|99991231|D5_22.08.02|as4_109|
20170101|99991231|D5_22.08.03|as4_109|
