cl_dbc_tarief_agb_code|cl_productgroep_code|cl_declaratiecode|cl_declaratiecode_kleur|cl_dbc_tarief_basis|cl_dbc_tarief_max|cl_dbc_nhc_tarief|cl_dbc_tarief_begindatum|cl_dbc_tarief_einddatum|cl_dbc_tarief_mutatie
0329|142144|100139|groen|8021600|0|0|20090101|20091231|
0329|142144|100139|groen|7833100|0|0|20100101|20101231|
0329|142144|100139|groen|7967519|0|0|20110101|20111231|
0329|142145|100140|groen|9347200|0|0|20090101|20091231|
0329|142146|100141|groen|7205700|0|0|20090101|20091231|
0329|142146|100141|groen|7036400|0|0|20100101|20101231|
0329|142146|100141|groen|7157147|0|0|20110101|20111231|
0329|142147|100142|groen|8502900|0|0|20090101|20091231|
0329|142148|100143|groen|6302000|0|0|20090101|20091231|
0329|142148|100143|groen|6154000|0|0|20100101|20101231|
0329|142148|100143|groen|6259605|0|0|20110101|20111231|
0329|142149|100144|groen|7694900|0|0|20090101|20091231|
0329|142150|100145|groen|7293600|0|0|20090101|20091231|
0329|142150|100145|groen|7122300|0|0|20100101|20101231|
0329|142150|100145|groen|7244521|0|0|20110101|20111231|
0329|142151|100146|groen|8529800|0|0|20090101|20091231|
0329|142152|100147|groen|6289000|0|0|20090101|20091231|
0329|142152|100147|groen|6141200|0|0|20100101|20101231|
0329|142152|100147|groen|6246585|0|0|20110101|20111231|
0329|142153|100148|groen|7897500|0|0|20090101|20091231|
0329|142154|100149|groen|6268200|0|0|20090101|20091231|
0329|142154|100149|groen|6121000|0|0|20100101|20101231|
0329|142154|100149|groen|6226039|0|0|20110101|20111231|
0329|142155|100150|groen|7629800|0|0|20090101|20091231|
0329|142156|100151|groen|6303400|0|0|20090101|20091231|
0329|142156|100151|groen|6155300|0|0|20100101|20101231|
0329|142156|100151|groen|6260927|0|0|20110101|20111231|
0329|142157|100152|groen|7649500|0|0|20090101|20091231|
0329|142158|100153|groen|7301700|0|0|20090101|20091231|
0329|142158|100153|groen|7130200|0|0|20100101|20101231|
0329|142158|100153|groen|7252557|0|0|20110101|20111231|
0329|142159|100154|groen|8768200|0|0|20090101|20091231|
0329|143001|100156|groen|7557500|0|0|20090101|20091231|
0329|143001|100156|groen|7380100|0|0|20100101|20101231|
0329|143001|100156|groen|7506746|0|0|20110101|20111231|
0329|143002|100157|groen|7562100|0|0|20090101|20091231|
0329|143002|100157|groen|7384600|0|0|20100101|20101231|
0329|143002|100157|groen|7511323|0|0|20110101|20111231|
0329|143003|100158|groen|7569000|0|0|20090101|20091231|
0329|143003|100158|groen|7391300|0|0|20100101|20101231|
0329|143003|100158|groen|7518138|0|0|20110101|20111231|
0329|143004|100159|groen|7581300|0|0|20090101|20091231|
0329|143004|100159|groen|7403300|0|0|20100101|20101231|
0329|143004|100159|groen|7530344|0|0|20110101|20111231|
0329|143005|100160|groen|7608700|0|0|20090101|20091231|
0329|143005|100160|groen|7430100|0|0|20100101|20101231|
0329|143005|100160|groen|7557604|0|0|20110101|20111231|
0329|143006|100161|groen|7689000|0|0|20090101|20091231|
0329|143007|100162|groen|7570800|0|0|20090101|20091231|
0329|143007|100162|groen|7393100|0|0|20100101|20101231|
0329|143007|100162|groen|7519969|0|0|20110101|20111231|
0329|143008|100163|groen|7585300|0|0|20090101|20091231|
0329|143008|100163|groen|7407200|0|0|20100101|20101231|
0329|143008|100163|groen|7534311|0|0|20110101|20111231|
0329|143009|100164|groen|7608800|0|0|20090101|20091231|
0329|143009|100164|groen|7430200|0|0|20100101|20101231|
0329|143009|100164|groen|7557705|0|0|20110101|20111231|
0329|143010|100165|groen|7651400|0|0|20090101|20091231|
0329|143011|100166|groen|7671800|0|0|20090101|20091231|
0329|143012|100167|groen|7769900|0|0|20090101|20091231|
0329|143013|100168|groen|7568000|0|0|20090101|20091231|
0329|143013|100168|groen|7390300|0|0|20100101|20101231|
0329|143013|100168|groen|7517121|0|0|20110101|20111231|
0329|143014|100169|groen|7582300|0|0|20090101|20091231|
